,title,year,genre,synopsis
0,아이 좀비,2017,드라마,좀비가 된 의대생은 인간성을 유지하기 위해 영안실에서 뇌를 먹어치우며 지내던 중 범죄를 해결하는 묘한 재능이 생겼음을 발견한다.
1,주,2017,드라마,"전 세계 동물들이 인간을 공격하기 시작하자, 논란이 많은 동물학자 잭슨 오즈는 갑작스러운 변화의 원인을 알아내려 애쓴다."
2,지그와 샤코,2016,드라마,"무인도에서 옴짝달싹 못 하고 배만 곯는 하이에나 지그. 인어 마리나를 잡아먹으려 요리조리 머리를 쓰지만, 상어 샤코의 끊임없는 훼방에 어제도, 오늘도, 내일도 꼬르륵~"
3,Z 네이션,2017,드라마,"치명적인 좀비 바이러스에서 살아남은 남자가 백신에 대한 키를 쥐고 있다고 믿고, 그들은 위험천만한 미국 횡단에 도전한다."
4,겁쟁이 페달,2017,드라마,왜소한 체격에 소심한 성격. 취미는 애니메이션 감상. 누가 봐도 스포츠와 거리가 먼 남고생이 사이클부원이 됐다. 통학하던 자전거 실력으로 레이서들과 겨룰 수 있겠니? 아니 그 전에 혹독한 지옥 훈련을 버틸 수나 있겠어?
5,4월은 너의 거짓말,2014,드라마,어머니가 죽은 후 연주에 대한 의지를 잃어버린 피아노 신동. 그러나 바이올린을 연주하는 자유분방한 성격의 소녀를 만나면서 그의 삶은 달라진다.
6,영 저스티스,2012,드라마,슈퍼히어로계에 샛별이 떠올랐다? 특출한 재능을 지닌 10대들이 어른 히어로의 조수 역할에 안주하지 않고 독립된 팀을 꾸렸다. 이름하여 영 저스티스! 세상은 우리가 구한다!
7,"당신과 나, 그리고 그녀",2018,드라마 NETFLIX ORIGINAL,성생활에 변화를 주기 위해 도우미를 고용한 잭과 에마. 하지만 세 사람 사이에 예상치 못한 로맨스가 싹트면서 상황은 꼬여버리고 만다.
8,너의 모든 것,2018,드라마 NETFLIX ORIGINAL,"뉴욕의 서점 매니저가 작가 지망생에게 반한다. 집착의 늪에 사로잡힌 남자, 그녀를 얻을 수만 있다면 무슨 짓이든 저지를 수 있다. 그의 위험한 사랑을 다룬 스릴러."
9,유후와 친구들,2012,드라마,유후와 왕방울 눈을 가진 네 친구가 지구의 환경을 지키는 일에 앞장서요! 신비로운 자연을 배경으로 따뜻한 우정을 쌓아 가는 우리 친구들을 함께 만나볼까요?
10,새벽의 연화,2015,드라마,"세상 물정 모르는 철부지 공주에게 갑자기 찾아온 비극. 짝사랑하던 사람이 눈앞에서 아버지를 시해한 것! 도망 길에 오른 공주는 맹세한다. 빼앗긴 왕국, 꼭 되찾고 말겠어!"
11,요괴워치,2014,드라마,마법 캡슐 안에 갇힌 요괴를 풀어준 민호. 새 요괴 친구와 함께 다양한 말썽꾸러기 요괴들과의 신나는 모험에 나선다.
12,YG전자,2018,드라마 NETFLIX ORIGINAL,"빅뱅의 막내 승리, YG 전략자료본부실의 고문이 되다! 다 양 회장님 눈에 든 덕? 기대 가득 첫 출근, 그런데 여기 좀 이상해! YG 스타들이 총출동하는 리얼 시트콤."
13,XXX홀릭,2008,드라마,어릴 적부터 지금까지 하루도 요마에게 시달리지 않은 날 없었던 고등학생 와타누키. 소원을 이뤄주는 가게를 하는 유코를 만난다. 그리고 말한다. 요마가 보이지 않았으면 좋겠다고. 그 소원은 얼마든 이루어줄 수 있지. 대가만 치른다면.
14,위노나 어프,2017,드라마,보안관 와이엇 어프의 버림받은 후손이 불사신 닥 홀리데이와 손잡고 개척시대 서부에서 온 사악한 악령들을 없애기 위해 앞장선다.
15,어느 세균학자의 죽음,2017,드라마 NETFLIX ORIGINAL,"CIA의 ‘MK-울트라’ 작전에 휘말린 프랭크 올슨. 그가 저지른 ‘끔찍한 실수’는 무엇이었을까. 한 과학자의 파멸과 죽음. 그 배후에 환멸의 시대, 광기의 역사가 있다."
16,신나는 글자축제,2017,드라마 NETFLIX ORIGINAL,"귀여운 아기 동물 베일리, 프래니, 킵, 루루와 함께 재미있는 놀이를 즐기면서 단어를 배워보자."
17,윙스 클럽,2014,드라마,이 애니메이션 판타지 영화에서는 블룸이라는 소녀가 한 무리의 요정들과 친구가 된 후 은밀하고 위험한 “마법 차원”으로 요정들을 따라 들어간다.
18,오쇼 라즈니쉬의 문제적 유토피아,2018,드라마 NETFLIX ORIGINAL,오리건 사막에 유토피아를 건설하라! 수많은 이가 숭배하며 헌신했던 영적 지도자의 원대한 프로젝트. 국가적 추문까지 일으킨 그 은밀한 실체를 파헤친다.
19,와일드 파타고니아,2015,드라마,"지형이 험준하기로 유명한 남아메리카 파타고니아 지역. 이 지역을 형성하는 여러 산과 사막, 해안, 그리고 그곳에 서식하는 다양한 동물군을 집중 조명한다."
20,와일드 재팬,2015,드라마,"인구 증가와 중공업 발달, 그리고 지진과 쓰나미 등 각종 자연재해에도 불구하고 일본은 다양한 생태계의 보고를 간직하고 있다."
21,와일드 차이나,2008,드라마,"지형이 광활하고 다채로운 중국, 그중에서도 가장 이국적인 모습을 간직한 미지의 자연 서식지를 탐방하는 6부작 다큐멘터리 시리즈."
22,와일드 알래스카,2015,드라마,"극한의 기후환경 속에서도 다양한 생물체들이 더불어 살아가는 천혜의 땅, 알래스카의 세 계절은 저마다 다양한 축복과 도전을 선사한다."
23,불야성,2016,드라마,"냉혹한 상속녀 이경, 그녀를 사랑한 남자 건우, 이경이 되고 싶은 여자 세진. ‘권력과 금력의 용광로’ 속으로 부나비처럼 뛰어드는 세 남녀의 이야기가 펼쳐진다."
24,화이트 골드,2017,드라마 NETFLIX ORIGINAL,"1980년대 영국 에식스. 세상이 우스운 영업 사원 빈센트 스완과 그의 파렴치한 동료들은 실적만 올릴 수 있다면 아무것도 가리지 않는다. 양심 따위, 개나 줘라."
25,남자가 사랑할때,2013,드라마,성공을 위해 자신만을 믿고 살아온 폭력배 출신의 차가운 남자 한태상은 당돌한 여자 미도에게 마음이 흔들린다.
26,그녀 다시 보기,2015,드라마,"고향에 방문한 부유한 독신남은 10년 전 자신에게 상처를 준 여자에게 복수를 꾀하지만, 그의 계획은 예상대로 풀리지 않는다."
27,마지막 임무,2018,드라마 NETFLIX ORIGINAL,"끔찍한 전쟁터에서 살아 돌아온 후, 흩어져 살던 네 명의 이스라엘 군인. 그들이 낯선 땅 콜롬비아에서 다시 모인다. 오래전 죽은 줄로만 알았던 여인을 찾기 위해."
28,호프 밸리,2017,드라마,"1900년대 초, 안락한 상류층 도시 생활을 뒤로하고 캐나다 서부의 탄광촌에서 교사로 사는 삶을 택한 씩씩한 여성의 이야기."
29,도대체 무슨일이야?,2015,드라마,"25살 연하남과 달콤한 비밀 연애 중이던 40살 그녀. 어려지고 싶다는 소원을 카드에 빌고 난 후, 대박 사건이 터진다!"
30,그녀의 식탁,2017,드라마,"1950년대 대만, 앳된 두 여인이 만나다. 안주인과 가정부로 맺은 인연. 요리를 매개로 서로의 삶에 파고들어 수십 년 풍파를 견뎌낸다. 찬란했던 그 시절 그녀들의 이야기."
31,웻 핫 아메리칸 썸머: 10년 후,2017,드라마 NETFLIX ORIGINAL,"청소년 카운슬러로 화려한 여름을 보낸 지 10년. 그때의 용사들이 다시 뭉쳤다. 또 한 번의 모험, 또 한 번의 아름다운 ‘썸’을 위해."
32,웻 핫 아메리칸 썸머: 퍼스트 데이 오브 캠프,2015,드라마 NETFLIX ORIGINAL,"배꼽잡는 2001년 컬트 클래식 영화의 그 전 이야기. 캠프 개장 첫날, 캠프 파이어우드에서는 항상 심상치 않은 일이 터진다."
33,웬트워스,2018,드라마,베아 스미스는 남편 살인미수 혐의로 공판을 기다리는 가운데 수감되면서 감옥에서의 삶을 배워 나간다.
34,웰컴 투 더 패밀리,2018,드라마 NETFLIX ORIGINAL,"의절한 아버지의 갑작스러운 죽음. 아파트에서 쫓겨난 싱글맘 딸과 아버지의 두 번째 부인은 슬퍼할 겨를도 없다. 유언장에서 둘 다 제외라니? 당분간, 이 죽음은 비밀!"
35,으라차차 와이키키,2018,드라마,"영화감독, 배우, 작가를 꿈꾸는 세 청년. 직접 만들 영화의 제작비를 벌겠다며 게스트하우스를 냈지만 현실은 망한 거나 다름없고, 하는 일 족족 폭망 냄새가 솔솔 나니 어쩔? 역대급 웃음 폭탄으로 무장한 청춘들의 이야기, 스타트!"
36,위즈,2012,드라마,남편이 갑작스럽게 사망하자 평범한 중산층 엄마였던 낸시는 지금까지 누렸던 편안한 생활을 유지하기 위해 부유한 이웃들에게 마리화나를 팔기 시작한다.
37,랄라룹시,2017,드라마 NETFLIX ORIGINAL,"컬러풀한 봉제 인형들이 살아 움직인다. 인형들이 펼치는 모험과 우정, 그리고 톡톡 튀는 아이디어에 마법과 음악이 어우러진 새로운 애니메이션 시리즈."
38,위 스피크 댄스: 세계의 춤을 찾아,2018,드라마,"춤으로 말하는 댄서, 반다나 하트. 세계 곳곳을 돌며 각지의 과거와 현재를 대표하는 춤을 만나보고, 최고 전문가들에게 한 수 배운다. 어느 지역의 어떤 춤이 우릴 기다릴까?"
39,사랑｡ 돌아오다,2011,드라마,"대학 졸업 후 미국으로 이주해 살던 여자가 오랜만에 고향으로 향한다. 목적은 어머니의 2주기를 추모하는 것. 하지만 막상 고향에 와보니 아버지의 상황이 좋지 않은데. 그냥 두고 볼 수 없어 고향에 남기로 한 그녀. 나, 잘한 걸까?"
40,워터십 다운의 열한 마리 토끼,2018,드라마 NETFLIX ORIGINAL,토끼 마을에 닥쳐올 대재앙. 위험을 느낀 토끼 한 무리가 새집을 찾아 떠난다. 숱한 위협에도 그들은 달리기를 멈추지 않는다. 리처드 애덤스의 고전 소설을 각색한 작품.
41,검은 전사들,2018,드라마 NETFLIX ORIGINAL,친구를 잃은 퇴역 군인과 남편을 잃은 현직 경찰. 이들이 함께 오토바이 갱단을 소탕하러 나선다. 목숨을 건 또 하나의 전쟁. 둘은 죄책감과 상실감에서 벗어날 수 있을까.
42,롤라 앤 첼시,2018,드라마 NETFLIX ORIGINAL,서로 너무도 다른 두 여자 롤라와 첼시. 살인 사건에 휘말린 그들은 누명을 쓰고 쫓기는 신세가 된다. 경찰마저 믿을 수 없는 사면초가. 의지할 데라고는 낯선 동행뿐이다.
43,원더러스트,2018,드라마 NETFLIX ORIGINAL,"결혼 생활엔 문제없지만, 성생활에 위기를 느낀 부부. 둘이서 노력해봐야 별 소용이 없다. 이대로는 안 되겠어! 묘안을 낸 그들은 각자 다른 이성과 만나보기로 합의한다."
44,왁푸: 6명의 도푸스 일리아트로프의 모험,2014,드라마,"퀼비를 물리치고 6년 후, 아말리아의 왕국은 오그레스트의 눈물로 홍수에 잠겨버린다. 그를 멈추려면 엘리아트로프의 잃어버린 도푸스 여섯 개를 찾아내야 한다."
45,왁푸,2017,드라마 NETFLIX ORIGINAL,"놀랍다, 이 아이. 엄청난 에너지가 있어! 작은 마을의 평범한 소년 유고, 신비한 능력을 발견하면서 비범한 모험을 시작하다. 왁푸의 비밀을 밝히고 진짜 가족도 찾으러 출발!"
46,마취폭풍,2017,드라마,"수술 도중 발생한 환자 사망 사고. 책임을 떠안고 징계를 받게 된 이는 마취과 전문의. 뭔가 석연치 않은 상황, 진상을 파헤칠수록 병원의 추악한 비리가 점점 드러난다."
47,밥 & 데이비드,2015,드라마 NETFLIX ORIGINAL,네이비 실로부터 불명예 제대한 밥과 데이비드가 다시 돌아와 자신들이 제일 잘하는 방법으로 나라를 위해 일한다. 바로 스케치 코미디를 만드는 것.
48,부릉! 부릉! 브루미즈,2016,드라마,날마다 즐거움과 모험이 가득한 지피시티. 이곳엔 어려운 일이 생길 때마다 함께 머리를 맞대어 기발한 방법으로 문제를 해결하는 멋진 동물 자동차 친구들이 있어요!
49,바이올렛 에버가든,2018,드라마 NETFLIX ORIGINAL,"전쟁이 끝나자, 인간 병기로 키워진 바이올렛이 세상에 나온다. 그녀가 택한 새 삶은, 사람의 마음을 대신 전하는 것. 그것이 그녀가 살아갈 이유가 된다."
50,바이킹스,2017,드라마,이 잔혹한 드라마는 바이킹 영웅 라그나 로스브로크가 비전이 없는 지도자에게 도전하여 노르웨이의 경계를 확장해 나가는 내용을 다룬다.
51,벡스트,2012,드라마,게으르지만 매력적인 경찰 잭 암스트롱과 의욕 넘치고 똑똑한 경할 케이트 비숍이 서로에게 맞춰가며 함께 사건을 해결해 나간다.
52,베르사유,2018,드라마,프랑스의 루이 14세가 건설을 명한 호화로운 궁전은 사랑과 권력을 향한 암투가 벌어지는 치열한 전쟁터이자 귀족들을 통제하기 위한 금박을 두른 감옥이 된다.
53,벨벳 컬렉션,2017,드라마,"때는 60년대. 뉴욕에서 돌아온 패션 디자이너 아나. 오래도록 간직한 꿈을 위해 친구들과 바르셀로나에서 새로운 패션 사업을 하기로 한다. 《벨벳》의 스핀오프, 기대하시라."
54,벨벳,2016,드라마,1950년대 스페인을 배경으로 유명 패션 브랜드의 상속자가 가족의 반대를 무릅쓰고 회사 직원인 아름다운 재봉사와 사랑을 나누는 이야기가 그려진다.
55,반 헬싱,2017,드라마 NETFLIX ORIGINAL,3년의 혼수상태에서 깨어난 바네사. 세상은 뱀파이어에게 이미 점령당했다. 살아남으려면 서로 반목하는 한 줌의 생존자들과 함께 적들에 맞서 싸우는 일만이 남았다.
56,거침없이 아니타!,2018,드라마 NETFLIX ORIGINAL,"자국을 넘어 세계에서 인정받는 브라질 가수 아니타. 섹시하고 에너지 넘치는 그녀, 무대 뒤의 모습은 어떨까. 친구와 가족, 동료들이 말하는 그녀의 진면목을 공개한다."
57,원점 수사,2018,드라마 NETFLIX ORIGINAL,비기가 죽기 6개월 전 살해된 인기 래퍼 투팍 샤커. 투팍과 비기는 어떤 관계였을까. 연방 특별 수사반에 발탁된 케이딩과 듀프리는 10년 전 사건 관련자들을 재조사한다.
58,언더 더 돔,2015,드라마,"스티븐 킹 소설 원작의 SF 드라마. 미국의 한 마을이 갑자기 나타난 돔 안에 갇히고, 아무도 빠져나갈 수 없는 곳에 고립된 사람들은 공포를 느끼기 시작한다."
59,검은 달빛 아래서,2016,드라마,대학 미술 동아리에 신입 멤버가 들어온다. 죽음의 냄새를 맡는 은밀한 능력의 소유자인 그는 한 여자 멤버에게 남자친구와 헤어지라고 경고한다.
60,언브레이커블 키미슈미트,2019,드라마 NETFLIX ORIGINAL,종말론 사이비 종교에서 구출되어 뉴욕으로 온 키미 슈미트. 종말했다고 믿었던 세상에서 살아남기 위한 초긍정녀 키미의 고군분투가 펼쳐진다.
61,갈리시아의 상속자들,2018,드라마 NETFLIX ORIGINAL,스페인 북서부에 위치한 갈리시아. 사업가 네모는 이곳에서 절대군주나 다름없다. 세상 두려운 것이 없던 남자. 그러나 치명적인 병이 그의 과거와 미래를 뒤흔든다.
62,울트라 바이올렛,2017,드라마 NETFLIX ORIGINAL,"아마추어 탐정들로 구성된 네티즌 수사대, 울트라 바이올렛. 포기를 모르는 이들이 기막힌 방식으로 강력 사건을 해결한다. 정의를 위해서라면 물불을 가리지 않고 출동!"
63,트루: 멋진 소원,2018,드라마 NETFLIX ORIGINAL,"도움이 필요할 때면 불러볼까요, 트루와 바틀비! 아무리 높은 산도, 아무리 깊은 바다도, 우정을 위해 달려간답니다. 친구들과 함께라면 못할 일이 없는, 우리는 천하무적!"
64,트루: 마법 친구들,2018,드라마 NETFLIX ORIGINAL,"하루도 조용할 날 없는 무지개 왕국. 하지만 트루와 바틀비가 함께한다면 걱정 없어요. 친구들과 힘을 모아, 어떤 문제든 척척! 트루와 친구들, 언제라도 불러만 주세요!"
65,트루와 무지개 왕국,2017,드라마 NETFLIX ORIGINAL,무지개 왕국에 문제가 생겼나요? 트루와 바틀비를 불러보세요! 마음 따뜻한 트루와 단짝 바틀비가 친구들의 하루를 책임집니다. 소원도 있다고요? 말씀만 하세요.
66,트로이: 왕국의 몰락,2018,드라마 NETFLIX ORIGINAL,우연히 신들의 내기에 휘말린 목동 파리스. 세상에서 가장 아름다운 여인을 주겠다는 약속을 받는다. 예언은 실현되지만 끔찍한 살육과 참혹한 전쟁을 동반한다.
67,트로츠키,2017,드라마,"누군가에게는 영웅이었고, 다른 누군가에게는 악인이었다. 러시아 혁명을 이끈 논란의 인물 레온 트로츠키. 정치판 입문부터 스탈린과의 악연까지, 그의 생애와 사상을 생생하게 담았다. 격동의 시기, 혁명 그 자체가 된 남자의 이야기."
68,트롤헌터: 아카디아의 전설,2017,드라마 NETFLIX ORIGINAL,"스토리텔링의 귀재 기예르모 델토로의 판타지 소설, 애니메이션으로 재탄생하다. 마을 지하에 존재하는 트롤의 세계. 그곳을 발견한 한 소년의 놀라운 모험과 성장 이야기."
69,꼬마 탐정 토비 & 테리,2018,드라마,"숲속 친구들에게 도움이 필요하다고요? 꼬마 탐정단 토비와 테리를 불러봐요. 단서를 찾고 추리를 하면, 아무리 어려운 사건도 척척! 우리는 명탐정 남매랍니다!"
70,비밀을 삼킨 세계 보물,2012,드라마,"누구나 한 번쯤 들어본 고대 유물. 진위 논란이 끊이지 않는 토리노의 수의부터 빈랜드 지도, 스핑크스까지 그 비밀의 실타래를 과학과 역사를 바탕으로 한 가닥씩 풀어본다."
71,시간여행자,2018,드라마 NETFLIX ORIGINAL,별안간 완전히 다른 사람이 된 듯한 4인에 대해 수사하던 FBI 요원 매클래런은 인류의 미래에 대해 놀라운 사실을 알게 된다.
72,트랩트,2015,드라마,혹독한 눈보라로 외부 세계와 단절된 아이슬란드의 한 마을에서 살해당한 시신 한 구가 발견된다.
73,트랜스퍼,2017,드라마,사고로 의식을 잃었던 남자가 깨어난다. 그러나 그의 의식은 이미 다른 사람의 몸속으로 옮겨진 상황. 게다가 이 육체의 원래 주인은 이런 불법 시술을 퇴치하는 조직의 수장이었다는데. 이제 나는 누구로 어떻게 살아가야 하는가.
74,트레일러 파크 보이즈: 파크 탈출: 미국편,2017,드라마 NETFLIX ORIGINAL,"고삐 풀린 망아지들이 돌아왔다. 캐나다 국경 너머 남쪽으로 향하는 버블즈, 줄리안, 리키 일당. 그들의 골 때리는 미국 모험기가 시작된다."
75,트레일러 파크 보이즈: 파크 탈출: 유럽편,2016,드라마 NETFLIX ORIGINAL,공짜 유럽 여행에 들뜬 트레일러 파크 보이즈. 하지만 이들의 여행을 후원하는 회사에서 이들에게 조건으로 아주 특이한 미션을 내린다.
76,트레일러 파크 보이즈,2018,드라마 NETFLIX ORIGINAL,노바스코샤 트레일러 파크에서 사기 행각을 벌이는 상습 경범죄자들이면서 오랜 친구인 세 명의 남자들이 술에 취해 벌이는 각종 크고 작은 사고에 관한 이야기.
77,터치,2012,드라마,숫자의 패턴을 파악하는 데 천부적인 재능이 있는 자폐아 소년은 비록 말을 하지는 못하지만 미래 사건을 예측하는 능력이 있는 것으로 보인다.
78,톱 오브 더 레이크,2013,드라마,"높고 깊은 산 속 아름다운 호수. 스스로 생을 마감하러 그곳으로 걸어 들어간 열두 살의 임신부. 눈부신 절경 속, 수상한 마을 사람들이 감추고 있는 진실은 무엇인가."
79,TOP BOY,2013,드라마,"약과 갱의 법칙이 지배하는 이스트 런던 빈민가. 마약을 팔거나 아니면 죽거나, 누구도 안심할 수 없다. 3년 동안 빼앗겼던 왕좌를 되찾으러 두셰인이 돌아온다."
80,통 메모리즈,2016,드라마,한 성격 하는 거친 상남자 고등학생. 일진에게 가차 없는 그가 부산 주먹의 전설이 되는 이야기.
81,도쿄재판,2017,드라마,2차대전이 끝나자 연합군 판사들을 기다리던 새로운 숙제. 강도 높은 국제재판에서 일본 전범들의 운명을 결정해야 한다.
82,도쿄 구울,2018,드라마,인간의 탈을 쓴 식인 괴물 구울이 도쿄를 휩쓸고 있다! 인간이었다가 구울의 몸으로 살아가게 된 가네키 겐. 그에게 이 지독히 모순적인 세계는 어떤 삶을 준비해 두었는가.
83,"치, 제삼자",2015,드라마,"한 명의 남자와 두 명의 여자. 사이좋은 단짝 친구로 시작했지만, 빠져나올 수 없는 삼각관계에 갇혀버린다. 셋은 험난한 운명의 파도를 넘어 원하는 사랑을 얻을 수 있을까."
84,타이탄,2018,드라마 NETFLIX ORIGINAL,복수에는 대가가 따른다. 정체를 숨기고 형사가 된 딕 그레이슨. 이제 그는 고담의 악몽에서 빠져나온 것인가. 의지할 곳 없는 젊은 히어로들이 딕 앞에 나타난다.
85,타임리스,2018,드라마,"시간 여행을 시작한 역사학자, 군인, 프로그래머. 이들의 목표는 단 하나. 시간의 연속성을 교란하려는 미지의 범죄자들을 잡는 것!"
86,칼리프: 나는 무죄다,2017,드라마 NETFLIX ORIGINAL,10대 흑인 소년이 재판도 없이 3년간 투옥됐다. 죄도 없이 죄인보다 가혹한 형벌을 견뎌야 했던 소년 칼리프. 그의 비극을 추적하는 다큐멘터리.
87,하신,2017,드라마,"하천을 둘러싸고 기괴한 일이 잇달아 벌어진다. 모든 단서가 향하는 그곳을 향해서, 오랜 세월 묻혔던 그 일을 파헤치는 사람들. 과연 우리는 진실을 마주할 각오가 됐는가."
88,타이드랜드,2018,드라마 NETFLIX ORIGINAL,"고향인 오펄린베이로 돌아온 캘 맥티어. 그러나 전과자인 그녀를 아무도 반기지 않는다. 그들에겐 숨겨야 할 살인이 넘치고, 마약과 사이렌의 존재까지 복잡하게 얽혀있다."
89,사랑하는 은동아,2015,드라마,사라진 첫사랑을 애타게 그리며 살아가는 최고의 배우. 첫사랑과의 재회를 꿈꾸며 그녀에 대한 기억을 담은 자서전을 쓰기로 한다.
90,그 해는 행복했다,2009,드라마,성공과는 거리가 먼 실패자 첸보가 뜻밖의 승진으로 운명이 바뀌면서 온 가족의 삶에 행운이 깃들기 시작한다.
91,꼴찌 마녀 밀드레드,2018,드라마 NETFLIX ORIGINAL,"우연히 마법학교로 굴러 들어간 소녀. 사고와 실수가 끊일 날이 없지만, 나 어쩌면 진짜 마녀일지도 몰라? 전 세계에서 사랑받은 질 머피의 동화 시리즈 원작."
92,세계에서 가장 경이로운 집,2019,드라마 NETFLIX ORIGINAL,숨이 턱 막힌다. 입은 떡 벌어진다. 경이로운 집을 찾아 떠나는 두 번째 세계 여행. 건축가 피어스 테일러와 배우 캐럴라인 쿠엔틴이 뽑은 베스트 하우스는 어디일까?
93,작업의 고수 PS남,2010,드라마,사랑스러운 아만다와 불같은 샤오쳰 사이에서 고민하는 바람둥이 허지예 앞에 거만한 성격의 청언이 라이벌로 등장해 새로운 고민을 안겨준다.
94,더 윈저스,2017,드라마,"왕족은 고상하고 기품 있다? 시기, 질투가 빚어낸 암투와 음모로 가득한 영국 왕실. 대놓고 야하고 말도 안 되게 웃기면서 어딘가 그럴듯한 왕가 사람들의 일상을 기대하시라!"
95,후 워즈? 쇼: 롤모델을 찾아라,2018,드라마 NETFLIX ORIGINAL,지금까지 이런 역사 수업은 없었다! 세계사에서 가장 유명한 인물들을 직접 만나는 시간. 심지어 그 위인들이 웃겨주기까지! 베스트셀러 어린이 책이 원작인 시리즈.
96,켄 번스: 전쟁,2007,드라마,7부작 시리즈 다큐멘터리. 전형적인 미국 소도시의 군인들과 다른 사람들의 참혹한 개인적 이야기를 통해 세계 2차대전을 재조명한다.
97,워킹데드,2017,드라마,옛 동료와 적으로 만난 릭은 만감이 교차한다. 지저스의 행동을 못마땅해하던 모건은 지저스와 한판 붙는데. 뻔뻔하게 힐톱을 찾아온 배신자에게 매기는 어떤 처분을 내릴까.
98,베트남 전쟁 10부작,2017,드라마,"유명 다큐멘터리 감독 켄 번스, 린 노빅과 되짚어 보는 베트남 전쟁. 18시간에 이르는 총 10개 에피소드를 연대순으로 구성했다. 참전 용사, 반전 시위자, 정치인 및 그들 가족의 이야기와 실제 영상 등 귀중한 자료를 담은 작품."
99,뱀파이어 다이어리,2017,드라마,"청소년의 몸을 한 뱀파이어 스테판과 데이먼은 서로 앙숙으로, 엘레나라는 소녀를 사로잡기 위해 경쟁한다."
100,엄브렐러 아카데미,2019,드라마 NETFLIX ORIGINAL,"초능력을 가진 남매들이 아버지의 장례식에서 다시 모인다. 그들 앞에 드러나는 가족의 비밀과 인류의 미래. 종말을 막아야 한다. 애증을 접고, 모두 손을 잡아라."
101,튜더스,2010,드라마,악명 높은 군주 헨리 8세의 인생을 추적하는 이 시리즈에서는 16세기 영국 왕정의 화려함과 스캔들이 재현된다.
102,밀매자들,2016,드라마,돈이면 다 되는 검은 시장. 저널리스트 넬러퍼 헤다야트가 세계 곳곳을 돌며 그 실상을 포착한다. 무기와 금은 물론이고 인체 장기까지 사고파는 이 은밀한 거래의 실체는?
103,토이: 우리가 사랑한 장난감들,2018,드라마 NETFLIX ORIGINAL,"우리의 어린 시절을 함께한 액션 피겨와 모형, 인형들은 어떻게 만들어졌는가? 구상, 성공에서 때로는 실패까지, 수십억 달러 규모의 장난감 산업, 그 발자취를 따라가 본다."
104,제3의 매력,2018,드라마,"스물의 봄, 스물일곱의 여름, 그리고 서른둘의 가을과 겨울. 그렇게 두 남녀는 세 번째 만났다. 남들 눈엔 안 보이는, 서로가 가진 제3의 매력에 빠진 둘. 12년이란 긴 시간을 통과하며 그리는 두 사람의 연애 이야기."
105,모건 프리먼의 스토리 오브 맨,2017,드라마,"인류의 단단한 유대와 비극적인 파멸, 이 모두의 원천은? 다름 아닌 우리 안의 인간성. 자유를 향한 지난한 싸움, 사랑의 위대한 힘, 투쟁의 본능 등에 관한 이야기를 통해 인간 내면에 자리한 공통된 인간성을 살펴본다."
106,모건 프리먼의 스토리 오브 갓,2017,드라마,"인류사에서 언제나 강력한 힘을 발휘했던 종교. 신의 존재와 믿음, 생명의 풀리지 않는 의문에 대한 해답 등 종교 전반의 이야기를 배우 모건 프리먼과 함께 탐구해본다."
107,프린세스 다이애나,2017,드라마,짧은 생을 마감한 다이애나 비의 화려한 삶과 그 이면에 가려진 개인적 고뇌를 남동생과 측근 인물의 인터뷰를 통해 들어본다.
108,지금 웃기러 갑니다,2018,드라마 NETFLIX ORIGINAL,"코미디의 최전선을 만난다! 가장 핫한 코미디언들이 선보이는 30분짜리 스페셜. 은근한 농담과 포복절도 경험담, 난감한 고백이 쏟아진다. 도대체 언제까지 웃길 텐가!"
109,계단: 아내가 죽었다,2018,드라마 NETFLIX ORIGINAL,"단순한 사고인가, 끔찍한 살인인가. 아내의 죽음을 슬퍼할 겨를조차 없는 남자. 의문의 사건이 소설가 마이클 피터슨과 그 가족들의 행복한 삶을 송두리째 집어삼킨다."
110,마음의 소리: REBOOT,2018,드라마,"웹툰 작가 조석의 진짜 ‘마음의 소리’는 무엇? 엉뚱한 가족, 사랑스러운 애인, 얼간이 친구들과 함께하는 파란만장한 나날이 시작된다. 새로운 배우들로 리부트 완료!"
111,마음의 소리,2016,드라마,최장수 인기 개그 웹툰 '마음의 소리'를 원작으로 한 시트콤. 웹툰 작가 조석과 그의 괴짜 가족의 상상 이하 + 어드벤처 + 요절복통 일상이 펼쳐진다.
112,샨나라 연대기,2018,드라마,"세상을 위협하는 무시무시한 악마의 세력이 문명이 파괴된 지구에 어둠을 드리우는 가운데, 세 명의 영웅이 유일한 구원의 빛이 된다."
113,일곱 개의 대죄,2015,드라마,"사악한 무리에게 왕국을 빼앗긴 왕녀는 오래전에 흩어진 악의 기사단을 찾아 길을 떠난다. 일곱 명의 대죄인, 그들이 왕좌를 되찾을 유일한 희망이다."
114,거리 마술 여행,2017,드라마,"그의 손놀림이 시작되면, 두 문화 사이의 간극이 요술처럼 사라진다네. 유럽 곳곳을 돌면서 현지인과 교감하고 자기만의 여행담을 만들어가는 마술사 애덤 트렌트. 여느 평범한 거리에서 펼쳐지는, 결코 평범하지 않은 마술쇼를 만나보자."
115,천성장가,2018,드라마 NETFLIX ORIGINAL,"나라에 충성하고 만인에게 존경받는 지미. 그러나 가문의 비밀을 알게 된 후, 그녀는 선택해야 한다. 가족을 위한 복수와 운명적인 사랑, 그 갈림길 사이에서."
