,title,year,genre,synopsis
4261,바람바람바람,2018,드라마,"중년이 될 때까지 한결같이 바람둥이로 살아온 남자. 제주도에 살면서 매제한테 불륜의 세계를 알려준다. 그래서일까, 권태로운 결혼 속에서도 바람만은 생각도 않던 매제가 매혹적인 여성에게 홀딱 빠졌으니. 첫 불륜, 설레면 이상한 거야?"
4262,더 이퀄라이저 2,2018,영화,"전직 CIA 요원 로버트 맥콜. 그는 매사추세츠 도심에서 운전기사로 일하며, 힘없는 사람들을 대신해 악한을 소탕한다. 그러던 어느 날 소중한 친구이자 전 동료가 살해되면서 거대 음모 한가운데 서게 되고. 배후 인물의 처단을 시작한다."
4263,보잭 홀스맨,2018,드라마 NETFLIX ORIGINAL,"90년대 최고의 시트콤 스타였던 보잭은 과연 20년 후 어떤 모습으로 살고 있을까? 괴팍한 동물이지만 마음만은 비단결인 보잭. 아니, 비단까지는 아니고 명주 정도 되려나?"
4264,스카이캐슬,2018,드라마,"대한민국의 내로라하는 엘리트가 사는 SKY 캐슬. 누구보다 위에 올라 아래를 내려다보고 살아야 한다는 걸 한 번도 의심한 적 없는 삶은 어떨까. 겉으로는 화려하고 우아하지만, 속으로는 욕망과 시기로 가득 찬 이들의 이야기가 펼쳐진다."
4265,안시성,2018,영화,당나라의 침략으로 함락 위기에 빠진 고구려 안시성. 단 5천 명의 군사로 20만 대군과 싸워야 한다. 한 치도 물러설 수 없는 성주 양만춘에게 남은 건 오로지 전략과 전술뿐. 절대적 열세에 몰린 공성전에서 그의 승부수는 통할 것인가.
4266,안시성,2018,영화,당나라의 침략으로 함락 위기에 빠진 고구려 안시성. 단 5천 명의 군사로 20만 대군과 싸워야 한다. 한 치도 물러설 수 없는 성주 양만춘에게 남은 건 오로지 전략과 전술뿐. 절대적 열세에 몰린 공성전에서 그의 승부수는 통할 것인가.
4267,블랙 미러: 밴더스내치,2017,드라마 NETFLIX ORIGINAL,"1984년, 젊은 프로그래머가 기묘한 판타지 소설을 게임으로 만든다. 그리고 서서히 무너져 내리는 가상과 현실의 경계. 이제, 게임의 엔딩은 그의 선택에 달려있다."
4268,마스터 오브 제로,2017,드라마 NETFLIX ORIGINAL,배우로 뜨고 싶어 애쓰는 데브. 그 와중에 데이트 기술도 업그레이드해야 한다. 둘 다 잡으려면 괴짜 친구들의 도움이 필수! 에미상과 골든글로브상을 모두 휩쓴 시리즈다.
4269,페인티드 베일,2006,영화,너무나 늦게 서로에 대한 사랑을 확인한 두 사람…운명은 그들을 기다려 주지 않는다… 1925년 영국 런던. 화려한 사교모임과 댄스파티를 즐기는 도도한 아가씨 ‘키티(나오미 왓츠)’와 그녀를 파티에서 보고 첫눈에 반해버린 차갑고 냉철한 성격의 ‘월터(에드워드 노튼)’. ‘월터’는 ‘키티’에게 청혼을 하고 ‘키티’는 자신을 숨막히게 하는 엄마의 그늘에서 벗어나고자 그의 청혼을 받아들인다.
4270,어쩌다 로맨스,2019,영화 NETFLIX ORIGINAL,"로맨스 영화를 믿지 않는 건축가. 머리를 다친 후 깨어보니, 로맨틱 코미디의 주인공이 되어 있다. 아름다운 세상이 악몽과도 같은 그녀. 정녕 해피 엔딩은 없는 걸까."
